237 E(eV) e
3.1 30.875131000000003 4.31118
3.0800000000000005 30.047024000000004 3.90003
3.06 29.268159 3.56636
3.04 28.513832000000004 3.348474
3.0199999999999996 27.835974999999998 3.0752879999999996
3.0000000000000004 27.196923000000005 2.8094360000000003
2.98 26.601871 2.6336399999999998
2.96 26.042344999999997 2.493192
2.94 25.53138 2.306448
2.92 25.045560000000005 2.113798
2.9 24.570312000000005 2.0141660000000003
2.88 24.129420000000003 1.9074080000000002
2.8599999999999994 23.702158999999998 1.80264
2.84 23.304336000000006 1.7874700000000001
2.82 22.924781000000003 1.6289400000000003
2.8000000000000003 22.56444 1.5494780000000001
2.7799999999999994 22.237323 1.405964
2.7599999999999993 21.898923000000003 1.3952360000000001
2.74 21.586214999999996 1.236368
2.72 21.281064 1.20913
2.7 20.986989 1.19158
